
%%%%%%%%%%%%%%%%%%%%%%%%%%%%% generated-start %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

    setSharedVar('simvma_armModelDef_000000', am_000000)
    setSharedVar('simvma_armModelDef_111011', am_111011)
    setSharedVar('simvma_armModelDef_111100', am_111100)
    setSharedVar('simvma_armModelDef_111101', am_111101)
    setSharedVar('simvma_armModelDef_111110', am_111110)
    setSharedVar('simvma_armModelDef_111111', am_111111)
    setSharedVar('simvma_freqModelDef_000000', fm_000000)
    setSharedVar('simvma_freqModelDef_000001', fm_000001)
    setSharedVar('simvma_freqModelDef_000010', fm_000010)
    setSharedVar('simvma_freqModelDef_000011', fm_000011)
    setSharedVar('simvma_freqModelDef_000100', fm_000100)
    setSharedVar('simvma_freqModelDef_000101', fm_000101)
    setSharedVar('simvma_freqModelDef_000110', fm_000110)
    setSharedVar('simvma_freqModelDef_000111', fm_000111)
    setSharedVar('simvma_freqModelDef_001000', fm_001000)
    setSharedVar('simvma_freqModelDef_001001', fm_001001)
    setSharedVar('simvma_freqModelDef_001010', fm_001010)
    setSharedVar('simvma_freqModelDef_001011', fm_001011)
    setSharedVar('simvma_freqModelDef_001100', fm_001100)
    setSharedVar('simvma_freqModelDef_001101', fm_001101)
    setSharedVar('simvma_freqModelDef_001110', fm_001110)
    setSharedVar('simvma_freqModelDef_001111', fm_001111)
    setSharedVar('simvma_freqModelDef_010000', fm_010000)
    setSharedVar('simvma_freqModelDef_010001', fm_010001)
    setSharedVar('simvma_freqModelDef_010010', fm_010010)
    setSharedVar('simvma_freqModelDef_010011', fm_010011)
    setSharedVar('simvma_freqModelDef_010100', fm_010100)
    setSharedVar('simvma_freqModelDef_010101', fm_010101)
    setSharedVar('simvma_freqModelDef_010110', fm_010110)
    setSharedVar('simvma_freqModelDef_010111', fm_010111)
    setSharedVar('simvma_freqModelDef_011000', fm_011000)
    setSharedVar('simvma_freqModelDef_011001', fm_011001)
    setSharedVar('simvma_freqModelDef_011010', fm_011010)
    setSharedVar('simvma_freqModelDef_011011', fm_011011)
    setSharedVar('simvma_freqModelDef_011100', fm_011100)
    setSharedVar('simvma_freqModelDef_011101', fm_011101)
    setSharedVar('simvma_freqModelDef_011110', fm_011110)
    setSharedVar('simvma_freqModelDef_011111', fm_011111)
    setSharedVar('simvma_freqModelDef_100000', fm_100000)
    setSharedVar('simvma_freqModelDef_100001', fm_100001)
    setSharedVar('simvma_freqModelDef_100010', fm_100010)
    setSharedVar('simvma_freqModelDef_100011', fm_100011)
    setSharedVar('simvma_freqModelDef_100100', fm_100100)
    setSharedVar('simvma_freqModelDef_100101', fm_100101)
    setSharedVar('simvma_freqModelDef_100110', fm_100110)
    setSharedVar('simvma_freqModelDef_100111', fm_100111)
    setSharedVar('simvma_freqModelDef_101000', fm_101000)
    setSharedVar('simvma_freqModelDef_101001', fm_101001)
    setSharedVar('simvma_freqModelDef_101010', fm_101010)
    setSharedVar('simvma_freqModelDef_101011', fm_101011)
    setSharedVar('simvma_freqModelDef_101100', fm_101100)
    setSharedVar('simvma_freqModelDef_101101', fm_101101)
    setSharedVar('simvma_freqModelDef_101110', fm_101110)
    setSharedVar('simvma_freqModelDef_101111', fm_101111)
    setSharedVar('simvma_freqModelDef_110000', fm_110000)
    setSharedVar('simvma_freqModelDef_110001', fm_110001)
    setSharedVar('simvma_freqModelDef_110010', fm_110010)
    setSharedVar('simvma_freqModelDef_110011', fm_110011)
    setSharedVar('simvma_freqModelDef_110100', fm_110100)
    setSharedVar('simvma_freqModelDef_110101', fm_110101)
    setSharedVar('simvma_freqModelDef_110110', fm_110110)
    setSharedVar('simvma_freqModelDef_110111', fm_110111)
    setSharedVar('simvma_freqModelDef_111000', fm_111000)
    setSharedVar('simvma_freqModelDef_111001', fm_111001)
    setSharedVar('simvma_freqModelDef_111010', fm_111010)
    setSharedVar('simvma_freqModelDef_111011', fm_111011)
    setSharedVar('simvma_freqModelDef_111100', fm_111100)
    setSharedVar('simvma_freqModelDef_111101', fm_111101)
    setSharedVar('simvma_freqModelDef_111110', fm_111110)
    setSharedVar('simvma_freqModelDef_111111', fm_111111)

%%%%%%%%%%%%%%%%%%%%%%%%%%%%% generated-end %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
